timestamp,signal,price,btc_amount,usd_amount,reason,portfolio_value,position_type
2024-10-10 16:00:00,BUY,60298.12,0.020730331227573926,1250.0,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7406.9535214966,BUY
2024-10-10 19:00:00,BUY,59727.28,0.01569634512068857,937.5,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7372.333282122452,BUY
2024-10-10 20:00:00,BUY,59799.83,0.011757976569498608,703.125,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7377.8720561067685,BUY
2024-10-10 21:00:00,BUY,60198.77,0.00876004194105627,527.34375,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7413.019550933479,BUY
2024-10-10 22:00:00,BUY,60148.01,0.006575576024875968,395.5078125,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7408.102823130646,BUY
2024-10-10 23:00:00,BUY,60326.39,0.004917099454732829,296.630859375,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7426.554062511779,BUY
2024-10-11 00:00:00,BUY,60194.01,0.0036959349365701007,222.47314453125,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7412.210037495478,BUY
2024-10-11 01:00:00,BUY,60578.55,0.0027543554343647625,166.8548583984375,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7455.298075305625,BUY
2024-10-11 02:00:00,BUY,60553.31,0.002066627634374209,125.14114379882812,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7452.400391661121,BUY
2024-10-11 03:00:00,BUY,60614.0,0.0015484188116461723,93.8558578491211,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7459.493343833652,BUY
2024-10-11 04:00:00,BUY,60699.99,0.001159668945362937,70.39189338684082,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7469.676302176394,BUY
2024-10-11 05:00:00,BUY,60600.0,0.0008711867993420894,52.793920040130615,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7457.71950486563,BUY
2024-10-11 06:00:00,BUY,60800.0,0.0006512407899687165,39.59544003009796,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7481.809728445647,BUY
2024-10-11 07:00:00,BUY,60674.69,0.000489439336609276,29.69658002257347,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7466.634391878197,BUY
2024-10-11 13:00:00,SELL,61676.0,0.03039794950666611,1874.8239337731388,Technical: RSI overbought (68.0) or above BB upper,7588.385475160276,SELL
2024-10-11 14:00:00,SELL,61753.65,0.022798462129999583,1407.8882509142488,Technical: RSI overbought (69.0) or above BB upper,7595.466677497854,SELL
2024-10-11 15:00:00,SELL,62259.05,0.017098846597499686,1064.5579452560628,Markov exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (73%),7630.033705779359,SELL
2024-10-11 16:00:00,SELL,62272.0,0.012824134948124764,798.5845314896253,Markov exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (73%),7630.697995969672,SELL
2024-10-11 17:00:00,SELL,62918.0,0.009618101211093574,605.1516919995854,Markov exit: UP-OVERBOUGHT→FLAT-OVERBOUGHT (80%),7655.551169499138,SELL
2024-10-11 18:00:00,SELL,62922.08,0.00721357590832018,453.8932003893951,Markov exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (73%),7655.668895057962,SELL
2024-10-11 19:00:00,SELL,63086.01,0.005410181931240135,341.3067914160345,Markov exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (73%),7659.216459553914,SELL
2024-10-11 20:00:00,SELL,62993.68,0.004057636448430102,255.60545198874235,Markov exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (73%),7657.71789326078,SELL
2024-10-11 21:00:00,SELL,62848.48,0.0030432273363225765,191.26221238232273,Markov exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (73%),7655.950386823844,SELL
2024-10-11 22:00:00,BUY,62450.27,0.02835121349225903,1770.540937419219,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7652.314856151053,BUY
2024-10-11 23:00:00,SELL,62540.0,0.009370223875306689,586.0138011616804,Technical: RSI overbought (65.0) or above BB upper,7655.678016904379,SELL
2024-10-12 00:00:00,SELL,62840.0,0.0070276679064800165,441.6186512432042,Technical: RSI overbought (68.7) or above BB upper,7664.111218392154,SELL
2024-10-12 01:00:00,SELL,62733.67,0.005270750929860012,330.6535494860311,Technical: RSI overbought (66.1) or above BB upper,7661.869462606666,SELL
2024-10-12 02:00:00,BUY,62554.97,0.026656190603834406,1667.4772035371432,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7659.043813033168,BUY
2024-10-12 03:00:00,BUY,62568.0,0.019987979520727166,1250.6079026528573,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7659.597176850584,BUY
2024-10-12 04:00:00,BUY,62583.58,0.014987252678572286,937.955926989643,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7660.570247919586,BUY
2024-10-12 05:00:00,SELL,62778.01,0.019360918898178474,1215.4399601990372,Technical: RSI overbought (65.2) or above BB upper,7675.6276217650775,SELL
2024-10-12 06:00:00,BUY,62679.91,0.01607096971409167,1007.3269352919915,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7669.929703333344,BUY
2024-10-12 07:00:00,BUY,62767.57,0.012036393976523126,755.4952014689936,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7676.430018990325,BUY
2024-10-12 08:00:00,BUY,62725.58,0.009033338569396174,566.6214011017453,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7672.810895835352,BUY
2024-10-12 09:00:00,BUY,62843.32,0.006762310629456066,424.96605082630896,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7684.022505892661,BUY
2024-10-12 10:00:00,SELL,63043.73,0.025496442396000615,1607.3908303740159,Technical: RSI overbought (68.1) or above BB upper,7704.46147397499,SELL
2024-10-12 11:00:00,BUY,62936.91,0.011449120169916758,720.5722457132357,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7696.290884044768,BUY
2024-10-12 12:00:00,SELL,63056.26,0.02198461183947965,1386.2674001493072,Technical: RSI overbought (66.6) or above BB upper,7706.786337736935,SELL
2024-10-12 13:00:00,SELL,63072.12,0.016488458879609737,1039.962057069811,Technical: RSI overbought (66.9) or above BB upper,7707.832365568258,SELL
2024-10-12 14:00:00,SELL,63234.99,0.012366344159707303,781.9856492756496,Technical: RSI overbought (69.7) or above BB upper,7715.888791461423,SELL
2024-10-12 15:00:00,SELL,63157.49,0.009274758119780476,585.7704432024542,Technical: RSI overbought (66.8) or above BB upper,7713.013616444291,SELL
2024-10-12 16:00:00,BUY,63064.06,0.023609732258107585,1488.9255717092321,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7710.413994490898,BUY
2024-10-12 17:00:00,BUY,63103.47,0.017696240456854816,1116.6941787819242,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7712.441008691692,BUY
2024-10-12 18:00:00,BUY,62936.01,0.013307494931541467,837.5206340864431,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7700.864457516629,BUY
2024-10-12 19:00:00,BUY,63000.01,0.009970482156508106,628.1404755648323,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7706.1404730050035,BUY
2024-10-12 20:00:00,BUY,63043.29,0.007472727972693434,471.1053566736242,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7710.1399009467505,BUY
2024-10-12 21:00:00,BUY,63221.16,0.005588777831745229,353.3290175052182,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7727.905725903011,BUY
2024-10-12 22:00:00,SELL,63296.63,0.02636743249169802,1668.9696184769875,Technical: RSI overbought (66.5) or above BB upper,7735.865526423605,SELL
2024-10-12 23:00:00,BUY,63206.22,0.010793861233090042,682.2391677481605,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7728.713887708882,BUY
2024-10-13 00:00:00,BUY,63190.23,0.008097444427898432,511.6793758111204,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7727.276448131138,BUY
2024-10-13 01:00:00,BUY,62879.26,0.0061031178143371966,383.7595318583403,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7696.803377363911,BUY
2024-10-13 02:00:00,BUY,62867.2,0.004578216445042172,287.81964889375524,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7695.547970909248,BUY
